mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5094685077667236,0.008119178013174789,0.0372098445892334,0.004414424851470371,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6060606060606061,0.5,0.5882352941176471,0.6486486486486487,0.6206896551724138,0.5927268407998632,0.05040912193851527,19
1.0151432991027831,0.07986424052138985,0.055210542678833005,0.005023082938836853,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5945945945945946,0.5806451612903226,0.6666666666666666,0.631578947368421,0.6206896551724138,0.6188350050184838,0.029999257695277084,17
0.5377074718475342,0.12243513376332853,0.034277486801147464,0.0054325761934868105,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6470588235294118,0.4827586206896552,0.6285714285714286,0.5945945945945946,0.6,0.590596693477018,0.057207530911494026,20
0.9993442535400391,0.06349409067880998,0.04582715034484863,0.003812797624738611,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6857142857142857,0.42857142857142855,0.717948717948718,0.6285714285714286,0.6,0.6121611721611722,0.10072085179568445,18
0.4257662773132324,0.08458110187756601,0.030333566665649413,0.005782147630775296,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6060606060606061,0.42857142857142855,0.5555555555555556,0.5945945945945946,0.5517241379310345,0.5473012645426438,0.0630456792522922,24
1.0523949146270752,0.01319379913779079,0.04854001998901367,0.0024389086116159923,5,2,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.5294117647058824,0.42857142857142855,0.6111111111111112,0.5945945945945946,0.6,0.5527377797966033,0.06834404431832668,23
0.47420921325683596,0.08076593711653318,0.029138517379760743,0.004347550729463427,5,2,5,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.5882352941176471,0.4827586206896552,0.5714285714285714,0.631578947368421,0.5517241379310345,0.5651451143070659,0.04889529496743918,21
0.714951753616333,0.0300137940361969,0.06140317916870117,0.018388034962819384,5,2,5,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6111111111111112,0.42857142857142855,0.5555555555555556,0.6111111111111112,0.6,0.5612698412698414,0.06944040804595923,22
0.3917237758636475,0.02865200979256074,0.0310488224029541,0.007894914548006246,8,1,2,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.717948717948718,0.7692307692307693,0.7619047619047619,0.6829268292682927,0.6857142857142857,0.7235450728133654,0.03652664220353572,5
0.8692549228668213,0.011347208608653453,0.04601531028747559,0.006173457241530609,8,1,2,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7,0.8,0.7619047619047619,0.7142857142857143,0.6470588235294118,0.7246498599439776,0.05253755108289638,3
0.44263997077941897,0.03293915941863093,0.028572893142700194,0.0028734620746835348,8,1,5,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6153846153846154,0.7027027027027027,0.7142857142857143,0.6666666666666666,0.7058823529411765,0.6809844103961751,0.036630313936661635,12
0.7978992938995362,0.06868716642770883,0.08127326965332031,0.058767776123322846,8,1,5,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.7142857142857143,0.7222222222222222,0.7619047619047619,0.7272727272727273,0.6470588235294118,0.7145488498429675,0.037465538831968216,7
0.4321437835693359,0.07452167643114802,0.02841839790344238,0.0030506873510901967,8,2,2,100,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6829268292682927,0.7027027027027027,0.6153846153846154,0.7142857142857143,0.7777777777777778,0.6986155278838206,0.052349673557421046,10
0.7828290462493896,0.07713712603026603,0.04999246597290039,0.00414683386361023,8,2,2,200,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7,0.7692307692307693,0.65,0.7272727272727273,0.7222222222222222,0.7137451437451438,0.03895095207770176,8
0.3675719738006592,0.00501685563671478,0.02895331382751465,0.0026240812564767633,8,2,5,100,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.65,0.7027027027027027,0.6486486486486487,0.7142857142857143,0.6857142857142857,0.6802702702702703,0.026855606404526958,14
0.6989990234375,0.009891500627259108,0.04904904365539551,0.0036900011541263155,8,2,5,200,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6829268292682927,0.6666666666666666,0.6842105263157895,0.6976744186046512,0.6470588235294118,0.6757074528769623,0.017374976347960015,15
0.3523953914642334,0.009270994262872938,0.027892208099365233,0.002924866607450693,12,1,2,100,"{'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7,0.85,0.6842105263157895,0.7272727272727273,0.7894736842105263,0.7501913875598086,0.061486213694498006,1
0.6949196338653565,0.004907194464200317,0.054437875747680664,0.01504270368362822,12,1,2,200,"{'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6666666666666666,0.7894736842105263,0.7142857142857143,0.7272727272727273,0.7222222222222222,0.7239842029315714,0.03919732585787345,4
0.35952153205871584,0.020206214436708142,0.029976701736450194,0.003507968260208207,12,1,5,100,"{'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.65,0.7368421052631579,0.75,0.7142857142857143,0.6857142857142857,0.7073684210526316,0.03603896735891139,9
0.8231904029846191,0.010034444347304263,0.04555954933166504,0.003098952143253832,12,1,5,200,"{'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6829268292682927,0.7894736842105263,0.7317073170731707,0.7317073170731707,0.7058823529411765,0.7283395001132673,0.03557163752140555,2
0.42453951835632325,0.024788451020564713,0.029416561126708984,0.0028556929730356967,12,2,2,100,"{'max_depth': 12, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.631578947368421,0.7368421052631579,0.6153846153846154,0.6976744186046512,0.7222222222222222,0.6807404617686135,0.04866853378094187,13
0.7360822677612304,0.028490136717980383,0.04940571784973145,0.003694862449988078,12,2,2,200,"{'max_depth': 12, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6829268292682927,0.7692307692307693,0.7,0.7272727272727273,0.7222222222222222,0.7203305095988023,0.029173183843281433,6
0.3352357864379883,0.01065904294873331,0.024694299697875975,0.003789567118489068,12,2,5,100,"{'max_depth': 12, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6829268292682927,0.6857142857142857,0.6486486486486487,0.6666666666666666,0.6857142857142857,0.6739341432024359,0.014495408706936127,16
