Model,Accuracy,Precision,Recall,F1_Score
Baseline,0.88,,,
Logistic Regression,0.97,0.875,0.875,0.875
Decision Tree,0.935,0.7619047619047619,0.6666666666666666,0.7111111111111111
Random Forest,0.935,0.7619047619047619,0.6666666666666666,0.7111111111111111
