Feature,Importance
Job_Satisfaction,0.36426562531071566
Satisfaction_Category_Medium,0.07695878947504976
Overtime,0.05296853018851842
Satisfaction_Category_High,0.052395292670670016
Salary_Per_Experience,0.03553789708580963
Training_Hours,0.03483504575032355
Years_At_Company,0.033452808185180316
Age,0.028477384147345144
Salary,0.026539001953577394
Workload_Score,0.025323735689152204
Work_Hours,0.02410537066245244
Experience,0.023834750479891875
Sick_Leaves,0.0226509702728198
Projects,0.018061465506227236
Previous_Experience,0.016579274372686387
Manager_Rating,0.015727627608196747
Performance_Score,0.011450956356271635
City_Karachi,0.011004513457692435
Education_Master,0.006899141662223637
Gender,0.006493578766813249
City_Rawalpindi,0.006034988135366928
Job_Role_Recruiter,0.005566386383140462
Job_Role_Marketing Specialist,0.005524279698524956
City_Islamabad,0.004946502156565258
Remote_Work,0.004847116674547784
Employment_Type_Full-Time,0.004793897259055611
Performance_Category_Average,0.004758919143522372
Performance_Category_High,0.004749454030268786
Job_Role_Financial Analyst,0.00467427028273492
Salary_Band_High,0.004526388846373548
Job_Role_Sales Manager,0.004487772039823737
City_Peshawar,0.0041129335120488105
Promotion_Last_5Yrs,0.0040530838423996005
Salary_Band_Medium,0.004016277591031364
Job_Role_Software Engineer,0.0039877079158316285
Experience_Band_Junior,0.003985632316471655
Education_PhD,0.0036946962655917443
Job_Role_HR Executive,0.00367605698383962
Job_Role_SEO Executive,0.0032657946588019347
City_Lahore,0.0032468886418225897
Department_HR,0.0031837246286307037
Department_Sales,0.003013434428238193
Salary_Band_Very High,0.002907114629864324
Job_Role_Sales Executive,0.0028453104420512036
Department_Marketing,0.0028298133068362557
Job_Role_DevOps Engineer,0.002648585288897888
Experience_Band_Mid Level,0.0023320338034428854
Department_IT,0.0017213810377834276
Experience_Band_Senior,0.0013050806331760046
Job_Role_Data Analyst,0.0007027158216982347
