Feature,Importance
Job_Satisfaction,0.3697645998163291
Satisfaction_Category_Medium,0.08738065610503673
Satisfaction_Category_High,0.06881853353195296
Overtime,0.06661726958344
Salary_Per_Experience,0.033951979424682914
Training_Hours,0.031390223326467404
Years_At_Company,0.030263068632386172
Salary,0.026028392084324434
Workload_Score,0.025272439314829327
Age,0.024627201577098363
Work_Hours,0.02364253052709831
Experience,0.02079631811110724
Sick_Leaves,0.019979422487781836
Previous_Experience,0.017826139204150198
Projects,0.014278505224952272
Manager_Rating,0.013812487313047107
Performance_Score,0.009213694378168104
City_Karachi,0.008710652686418942
Job_Role_Recruiter,0.005512363214868635
City_Rawalpindi,0.005336012171376989
Education_Master,0.005273343891646459
Remote_Work,0.005013332989959099
City_Islamabad,0.004846419099784711
Job_Role_Sales Manager,0.004710136678964507
Gender,0.004327924506323307
Education_PhD,0.004275691938962549
Performance_Category_High,0.004263487778736291
Salary_Band_Medium,0.004022831018269904
Employment_Type_Full-Time,0.003947971355726388
Job_Role_Financial Analyst,0.0036644303141097926
City_Peshawar,0.003557945360302012
Salary_Band_High,0.003479527452292601
Experience_Band_Junior,0.0034569333604734546
Job_Role_Software Engineer,0.003145316752843475
Job_Role_Sales Executive,0.0031421033505287972
Department_Marketing,0.0031007851673723378
Department_Sales,0.00307877542211985
Promotion_Last_5Yrs,0.0030595840571454643
Job_Role_HR Executive,0.003022206726230604
Department_HR,0.0029816346998943117
Job_Role_Marketing Specialist,0.0029028428036180854
Performance_Category_Average,0.0028548079008802953
City_Lahore,0.0028040905088173806
Salary_Band_Very High,0.002216839401555913
Job_Role_SEO Executive,0.0022104855276042193
Department_IT,0.0018532929850318554
Experience_Band_Senior,0.0017041770515218127
Experience_Band_Mid Level,0.0016945124199705425
Job_Role_DevOps Engineer,0.0015521228532929408
Job_Role_Data Analyst,0.0006139579105040378
